english,hungarian
ocean,óceán
dna,DNS
liar,hazug
tour,kirándulás
thief,tolvaj
bleep,csipog
lisa,Lisa
rights,jogokat
including,beleértve
competition,verseny
smith,kovács
planned,tervezett
emily,Emily
boring,fúrás
victims,áldozatok
mentioned,említett
bones,csontok
plant,növény
bless,áldja meg
warning,figyelmeztetés
knocking,kopogás
re,re
crash,összeomlik
bedroom,hálószoba
lower,alacsonyabb
silver,ezüst
groaning,nyögve
madame,asszonyom
defense,védelem
results,eredményeket
toilet,WC
event,esemény
complicated,bonyolult
shape,alak
priest,pap
royal,királyi
cheap,olcsó
romantic,romantikus
downstairs,földszint
invite,meghív
fortune,szerencse
tears,könnyek
avoid,elkerül
reached,elérte
higher,magasabb
familiar,ismerős
telephone,telefon
burning,égő
filled,megtöltött
kelly,kelly
alice,alice
airport,repülőtér
jobs,munkahelyek
grown,felnőtt
walter,Walter
rachel,rachel
giant,óriás
insurance,biztosítás
woods,erdő
n,n
scare,megijeszt
pleased,elégedett
period,időszak
political,politikai
player,játékos
stops,megáll
secrets,titkok
laura,laura
repeat,ismétlés
photos,fényképeket
finds,találja
statement,nyilatkozat
suck,szív
younger,fiatalabb
china,Kína
humans,emberek
delicious,finom
particular,különös
proper,megfelelő
rome,Róma
belongs,tartozik
attacked,megtámadták
bath,fürdőkád
hired,bérelt
site,telek
knowledge,tudás
b,b
led,vezetett
guests,vendégek
celebrate,ünnepel
map,térkép
horn,kürt
eventually,végül is
pity,kár
powers,hatáskörök
ashamed,szégyellve
assume,feltételezzük
glasses,szemüveg
rise,emelkedik
fixed,rögzített
request,kér
officers,tisztek
pounds,fontot
data,adat
carefully,gondosan
per,per
depends,attól függ
jury,zsűri
waited,várt
positive,pozitív
attorney,ügyvéd
direction,irány
families,családok
clock,óra
doin,csinál
forces,erők
location,elhelyezkedés
walls,falak
useless,hiábavaló
grant,támogatást
saving,megtakarítás
speaks,beszél
fought,harcolt
meal,étkezés
deliver,szállít
answers,válaszol
changing,változó
temple,templom
scary,ijedős
millions,milliókat
offered,felajánlott
regular,szabályos
carrying,hordozó
official,hivatalos
jacket,kabát
switch,kapcsoló
grave,sír
chase,üldözés
role,szerep
odd,páratlan
sexy,szexis
faces,arcok
becomes,válik
closes,bezár
badly,rosszul
tall,magas
confused,zavaros
affair,ügy
television,televízió
shock,sokk
raised,emelt
panting,zihálás
pizza,pizza
image,kép
clears,tisztázza
golden,aranysárga
patients,betegek
watched,figyelte
committed,elkötelezett
sexual,szexuális
suffer,szenved
arthur,Arthur
wherever,bárhol
plate,lemez
appear,megjelenik
chocolate,csokoládé
clever,okos
hm,hm
mercy,kegyelem
shots,lövések
lucy,lucy
dealing,foglalkozik
trap,csapda
charges,díjak
phil,phil
bang,bumm
poison,méreg
butt,csikk
drove,hajtott
yourselves,magatok
headed,fejes
babies,babák
yellow,sárga
soup,leves
mystery,rejtély
picking,szedés
sat,ült
wound,seb
traffic,forgalom
courage,bátorság
hunt,vadászat
indian,indián
rat,patkány
terms,feltételeket
italian,olasz
emma,emma
checking,ellenőrzése
disease,betegség
managed,sikerült
winner,győztes
council,tanács
appointment,kinevezés
monday,hétfő
crack,repedés
threat,fenyegetés
jenny,Jenny
physical,fizikai
nation,nemzet
source,forrás
chose,választotta
healthy,egészséges
carl,Carl
victory,győzelem
rick,rick
stood,állt
kicked,rúgott
annie,Annie
disgusting,undorító
palace,palota
below,alatt
shopping,bevásárlás
neighborhood,szomszédságában
march,március
lips,ajkak
midnight,éjfél
piss,húgy
advantage,előny
pure,tiszta
india,India
aside,félre
jerk,bunkó
mail,felad
dawn,hajnal
effect,hatás
spell,varázslat
freak,szörnyszülött
wood,faipari
screwed,csavart
enemies,ellenségek
gary,gary
awake,ébren
chuckling,kuncogva
vacation,vakáció
violence,erőszak
leo,Oroszlán
grandmother,nagymama
modern,modern
luke,luke
firm,cég
prime,elsőszámú
heh,heh
touched,érintett
talent,tehetség
whore,kurva
piano,zongora
license,engedély
cooking,főzés
honour,becsület
concern,vonatkozik
moves,mozog
available,elérhető
factory,gyár
gods,istenek
value,érték
central,központi
union,unió
mirror,tükör
studio,stúdió
media,média
taxi,Taxi
dies,meghal
iron,vas
hearts,szívek
desire,vágy
rob,rabolni
claire,claire
fred,fred
songs,dalokat
washington,washington
monkey,majom
pride,büszkeség
pills,tabletták
miracle,csoda
swim,úszás
burned,égett
smells,szagokat
joking,tréfálkozva
christian,keresztény
bleeding,vérzés
hook,horog
beating,verés
protection,védelem
treatment,kezelés
ear,fül
carter,kocsis
metal,fém
disappear,eltűnik
grateful,hálás
extremely,rendkívül
treasure,kincs
rescue,mentés
capable,képes
passing,múló
chatter,fecsegés
result,eredmény
suffering,szenvedő
sisters,nővérek
laid,terített
governor,kormányzó
guards,gárdisták
louis,Louis
text,szöveg
literally,szó szerint
remove,távolítsa el
becoming,válás
performance,teljesítmény
stronger,erősebb
rate,arány
deeply,mélységesen
scream,sikoly
desert,sivatag
vehicle,jármű
illegal,illegális
pulling,húzás
throwing,dobás
josh,megtréfál
unbelievable,hihetetlen
ted,ted
zero,nulla
dean,dékán
curious,kíváncsi
sean,Sean
candy,cukorka
bone,csont
tied,kötve
edge,él
load,terhelés
susan,Susan
ahh,ahh
mountains,hegyek
boom,fellendülés
former,korábbi
holiday,ünnep
riding,lovaglás
scoffs,gúnyolódik
hundreds,több száz
motherfucker,köcsög
sue,perelni
bags,táskák
stealing,lopás
appears,jelenik meg
arrive,megérkezik
remains,maradványok
decent,megfelelő
issues,kérdéseket
tip,tipp
fail,nem sikerül
bride,menyasszony
pissed,részeg
penny,penny
claim,követelés
friendship,barátság
desperate,kétségbeesett
flower,virág
dramatic,drámai
refuse,hulladék
solve,megoldani
theme,téma
loving,szerető
properly,megfelelően
dragon,sárkány
mostly,többnyire
chuck,tokmány
directly,közvetlenül
surface,felület
FALSE,HAMIS
cast,öntvény
junior,junior
hunting,vadászat
silent,csendes
thou,te
egg,tojás
germany,Németország
punch,puncs
africa,Afrika
woke,felébredt
intelligence,intelligencia
borrow,kölcsönkérni
winning,nyerő
falls,esik
popular,népszerű
escaped,megszökött
witch,boszorkány
convinced,meggyőződve
warn,figyelmeztet
announcer,bemondó
champagne,pezsgő
dust,por
kyle,kyle
someday,valamikor
fallen,elesett
stranger,idegen
presence,jelenlét
tear,könny
st.,st.
internet,Internet
monsieur,úr
therefore,ezért
technology,technológia
tires,gumiabroncsok
toast,pirítós
wise,bölcs
clark,Clark
americans,amerikaiak
notes,jegyzetek
smoking,dohányzó
hank,gombolyag
ls,ls
april,április
wolf,farkas
precious,értékes
rooms,szobák
coast,tengerpart
treated,kezelt
material,anyag
released,kiadták
uniform,egyenruha
hated,gyűlölt
considered,figyelembe vett
rice,rizs
exchange,csere
steps,lépéseket
blake,blake
convince,meggyőzni
beast,vadállat
cow,tehén
files,fájlokat
signs,jelek
drag,húzza
cab,taxi
hung,lógott
carried,hordták
ordinary,rendes
successful,sikeres
eve,előestéje
mistakes,hibákat
houses,házak
chattering,fecsegő
brains,agyvelő
japan,Japán
creature,teremtmény
fourth,negyedik
separate,különálló
cleaning,tisztítás
california,Kalifornia
lf,lf
ll,ll
shift,váltás
elizabeth,Erzsébet
chicago,Chicago
exact,pontos
karen,karen
goal,cél
expert,szakértő
served,szolgált
direct,közvetlen
score,pontszám
row,sor
marks,jelek
twenty,húsz
receive,kap
series,sorozat
section,szakasz
pilot,pilóta
jackson,Jackson
darkness,sötétség
thy,tiéd
sale,eladás
destiny,sors
cure,gyógymód
spoken,beszélt
armed,fegyveres
rare,ritka
helen,Helen
grade,fokozat
juice,lé
wide,széles
tower,torony
solution,megoldás
schedule,menetrend
explosion,robbanás
wheel,kerék
cigarette,cigaretta
julie,Julie
fruit,gyümölcs
blew,fújt
victor,győztes
talks,beszél
sacrifice,áldozat
range,hatótávolság
button,gomb
reports,jelentéseket
prisoner,fogoly
pie,pite
effort,erőfeszítés
youth,ifjúság
pot,edény
eaten,evett
taylor,taylor
knees,térdre
garage,garázs
parking,parkolás
ambulance,mentőautó
staring,bámulva
chances,esélyei
circumstances,körülmények
sin,bűn
gordon,Gordon
progress,előrehalad
unusual,szokatlan
county,megye
stairs,lépcsők
campaign,kampány
mon,mon
vision,látomás
reporter,riporter
equipment,felszerelés
moments,pillanatok
joey,joey
mass,tömeg
alien,idegen
trapped,csapdába esett
helps,segít
route,útvonal
defend,megvédeni
trace,nyom
nasty,csúnya
tests,tesztek
magazine,magazin
rocks,sziklák
dump,szemétlerakás
rude,durva
searching,keresés
clue,nyom
connected,csatlakoztatva
amen,ámen
pushed,lökött
merry,vidám
zone,zóna
senior,idősebb
closing,záró
freeze,fagy
emperor,császár
incident,incidens
snake,kígyó
mexico,Mexikó
lily,liliom
actor,színész
newspaper,újság
sentence,mondat
greg,greg
leading,vezető
friendly,barátságos
jones,Jones
chosen,választott
engaged,elkötelezett
julia,julia
charming,bájos
mustn,mustn
anger,harag
spending,kiadások
learning,tanulás
spy,kém
sharp,éles
shadow,árnyék
warrant,parancsot
elevator,lift
kingdom,királyság
ricky,ricky
jamie,jamie
squad,osztag
shoulder,váll
wave,hullám
amanda,amanda
highness,fenség
kinds,fajtái
fishing,halászat
sometime,egykori
attitude,hozzáállás
sucks,szívás
negative,negatív
screen,képernyő
workers,dolgozók
bored,unott
cameras,kamerák
similar,hasonló
understanding,megértés
beeps,sípol
chain,lánc
bull,bika
gasping,zihálva
fully,teljesen
robin,vörösbegy
collect,gyűjt
gorgeous,nagyszerű
morgan,morgan
passion,szenvedély
writer,író
empire,birodalom
international,nemzetközi
curse,átok
hire,bérel
bastards,köcsögök
puts,tesz
leads,vezet
id,id
blows,ütéseket
sons,fiai
estate,birtok
customers,vásárlók
maggie,maggie
gunshot,puskalövés
i-,én-
device,eszköz
troops,csapatok
hug,ölelni
design,tervezés
movement,mozgás
thunder,mennydörgés
object,objektum
loser,vesztes
pen,toll
sobbing,zokogás
politics,politika
despite,ellenére
alcohol,alkohol
climb,emelkedés
clients,ügyfelek
conference,konferencia
provide,nyújtani
marty,marty
seek,keresni
witnesses,tanúk
earn,pénzt keres
trash,szemét
valley,völgy
fashion,divat
howard,Howard
episode,epizód
prize,díj
previously,korábban
sports,sport
wanting,akaró
debt,adósság
wishes,kívánságait
hitler,hitler
wire,huzal
thee,téged
circle,kör
approach,megközelítés
stock,készlet
facts,tények
remembered,emlékezett
percent,százalékos
normally,normálisan
tail,farok
joined,csatlakozott
education,oktatás
bravo,bravó
library,könyvtár
rape,erőszak
wings,szárnyakat
growling,morogva
thrown,dobott
tank,tartály
exhales,kilélegzik
authority,hatóság
current,jelenlegi
failure,hiba
nightmare,lidércnyomás
hitting,ütés
glory,dicsőség
knocked,kopogtatott
studying,tanul
barry,barry
agency,ügynökség
apple,alma
border,határ
rope,kötél
duck,kacsa
reputation,hírnév
confidence,bizalom
yard,udvar
beloved,szeretett
lack,hiánya
actual,tényleges
skills,készségek
films,filmeket
mental,szellemi
salt,só
flesh,hús
anne,anne
secure,biztonságos
highly,nagyon
federal,szövetségi
sand,homok
emotional,érzelmi
setting,beállítás
nothin,semmi
senator,szenátor
services,szolgáltatások
robbery,rablás
hates,gyűlöl
fed,táplált
reward,jutalom
theater,színház
johnson,johnson
commit,elkövetni
patrick,patrick
entirely,teljesen
extraordinary,rendkívüli
ships,hajókat
opposite,szemben
parties,felek
stands,áll
terry,frottír
chat,csevegés
events,eseményeket
mummy,múmia
bay,öböl
slip,csúszás
disappointed,csalódott
settled,letelepedett
begins,kezdődik
andrew,Andrew
alert,éber
detail,részlet
pink,rózsaszín
fellas,srácok
accepted,elfogadott
background,háttér
garbage,szemét
panic,pánik
minds,elméket
belt,öv
blowing,fújás
hollywood,Hollywood
agreement,megállapodás
jackie,Jackie
pushing,toló
ability,képesség
tiger,tigris
whispering,suttogó
culture,kultúra
saint,szent
jesse,Jesse
task,feladat
solid,szilárd
doll,baba
intend,szándékozik
district,kerület
pa,pa
gee,Jé
custody,őrizet
ignore,figyelmen kívül hagyni
naturally,természetesen
useful,hasznos
attempt,kísérlet
abandoned,elhagyatott
cutting,vágás
kissed,megcsókolt
guarantee,garancia
barking,ugató
gather,összegyűjteni
policy,politika
u.s.,minket.
violent,erőszakos
maid,szobalány
embarrassing,kínos
childhood,gyermekkor
wasting,pazarlás
bow,íj
chick,csaj
sara,sara
disaster,katasztrófa
revolution,forradalom
online,online
f,f
demon,démon
heavily,súlyosan
coincidence,egybeesés
perform,előadni
thin,vékony
terrific,fantasztikus
mac,mac
crown,korona
identity,identitás
virgin,szűz
impressive,hatásos
windows,ablakokat
no-one,senki
potential,potenciális
guitar,gitár
committee,bizottság
dozen,tucat
delivery,szállítás
advance,előleg
quietly,csendesen
stan,stan
teaching,tanítás
hunter,vadász
latest,legújabb
hurting,fáj
swing,hinta
capital,tőke
counting,számolás
drew,rajzolt
dirt,piszok
whistle,síp
marie,marie
hits,találatokat
doug,doug
deny,tagadni
urgent,sürgős
threatened,megfenyegette
behavior,viselkedés
molly,molly
mixed,vegyes
stays,marad
assure,biztosítsa
subtitles,feliratokat
explanation,magyarázat
wins,nyer
unique,egyedülálló
chasing,üldöz
billion,milliárd
duke,herceg
production,termelés
slave,rabszolga
agents,ügynökök
carol,ének
lets,engedjük
cruel,kegyetlen
mask,maszk
sally,kirohanás
behave,viselkedik
bury,temetni
massive,tömeges
pathetic,szánalmas
species,faj
approaching,közeledik
jo,jo
loan,hitel
struggle,küzdelem
dish,tál
trusted,megbízott
jumped,ugrott
firing,égetés
channel,csatorna
abby,abby
stopping,megállás
asks,kérdi
jean,farmer
swimming,úszás
daily,napi
basement,pince
linda,linda
quarter,negyed
erm,erm
bound,köteles
navy,haditengerészet
article,cikk
guide,útmutató
accused,vádlott
transfer,átruházás
guts,belek
quality,minőség
fella,haver
roman,római
greater,nagyobb
damned,átkozott
couch,kanapé
cheer,éljenzés
vegas,vegas
shoe,cipő
title,cím
shy,félénk
punishment,büntetés
los,los
clicks,kattintások
you,te
closet,szekrény
bye-bye,viszlát
fever,láz
coward,gyáva
flash,vaku
impressed,lenyűgözött
bruce,bruce
siren,sziréna
prisoners,foglyok
sides,oldalain
bowl,tál
katie,katie
supply,kínálat
sensitive,érzékeny
hopefully,remélhetőleg
rolling,gördülő
roy,roy
dollar,dollár
tone,hangnemet
voices,hangokat
g,g
i,én
cheating,csalás
confess,gyónni
demand,kereslet
museum,múzeum
unknown,ismeretlen
drama,dráma
suspicious,gyanús
adult,felnőtt
todd,todd
frightened,rémült
warned,figyelmeztetett
steady,állandó
kills,megöl
crossed,keresztbe
lou,lou
particularly,különösen
sandwich,szendvics
laws,törvényeket
joint,közös
bullets,golyókat
package,csomag
trained,kiképzett
thursday,csütörtök
boots,csizma
possibility,lehetőség
albert,Albert
civil,civil
june,június
germans,németek
baseball,baseball
express,expressz
miserable,nyomorult
tuesday,kedd
parker,parker
lion,oroszlán
joseph,József
refused,visszautasította
shine,ragyog
assault,támadás
hong,hong
jokes,vicceket
breaks,szünetek
argue,vitatkozni
you-,te-
trail,nyom
option,opció
recall,visszahívás
mighty,hatalmas
collection,gyűjtemény
oliver,olivér
wilson,wilson
accent,hangsúly
believes,hisz
decisions,döntéseket
embarrassed,zavart
mobile,mozgó
customer,vevő
terribly,rettenetesen
sec,mp
charity,jótékonyság
considering,figyelembe véve
pussy,punci
donna,donna
protecting,védelmező
flag,zászló
kidnapped,elrabolták
italy,Olaszország
balance,egyensúly
creatures,lények
nuclear,nukleáris
wallet,pénztárca
shout,kiáltás
vincent,vincent
entered,belépett
impression,benyomás
angela,angela
jay,szajkó
degrees,fokon
favour,szívességet
reaction,reakció
network,hálózat
jessica,Jessica
version,változat
concert,koncert
gear,felszerelés
singer,énekes
diamond,gyémánt
defeat,vereség
steven,Steven
lane,sáv
blast,robbanás
wounded,sebesült
anytime,bármikor
partners,partnerek
ages,korok
charlotte,charlotte
ceremony,ceremónia
league,liga
bars,bárok
orange,narancs
specific,különleges
conditions,körülmények
plastic,műanyag
crisis,válság
fifth,ötödik
term,kifejezést
self,önmaga
offering,ajánlat
bud,bimbó
suffered,szenvedett
reported,jelentették
commissioner,biztos
rip,hasítás
mysterious,titokzatos
entrance,bejárat
messed,összevissza
tunnel,alagút
designed,tervezett
neighbor,szomszéd
aboard,fedélzeten
sweat,izzad
justin,Justin
ghosts,szellemek
crimes,bűncselekmények
costs,költségeket
deserves,megérdemli
dreaming,álmodozás
bust,mellszobor
el,el
teddy,maci
kong,kong
messages,üzeneteket
enjoying,élvezve
afterwards,később
comfort,kényelem
mason,kőműves
surrender,megadás
gym,tornaterem
kitty,cica
crush,összetörni
yup,igen
arranged,elrendezve
suits,öltönyök
pee,pisilni
stress,feszültség
cave,barlang
wing,szárny
jordan,Jordánia
arrange,intézkedjen
comrade,elvtárs
noble,nemes
tricks,trükkök
betty,Betty
launch,dob
legend,legenda
mix,keverék
golf,golf
imagination,képzelet
fox,róka
kissing,csókolózás
butter,vaj
tax,adó
gross,bruttó
edward,Edward
texas,texas
insist,ragaszkodni
marcus,marcus
classic,klasszikus
selfish,önző
skull,koponya
frankie,Frankie
shown,látható
bat,denevér
survived,túlélte
print,nyomtatás
champion,bajnok
bills,számlákat
therapy,terápia
lifetime,élettartam
throughout,végig
a.m.,délelőtt
nathan,nathan
toward,felé
sauce,szósz
experiment,kísérlet
margaret,margaret
describe,leírni
ross,ross
grass,fű
cheat,csal
attend,részt vesz
homework,házi feladat
lewis,lewis
betrayed,elárulta
servant,szolga
cap,sapka
tyler,tyler
bible,Biblia
practically,gyakorlatilag
catherine,catherine
steel,acél
wipe,törölje le
burns,égési sérüléseket
j,j
generation,generáció
cabin,kabin
financial,pénzügyi
industry,ipar
bond,kötvény
sheep,juh
scientists,tudósok
beaten,megverték
heck,a fene
deck,fedélzet
fans,rajongók
script,forgatókönyv
brand,márka
degree,fokozat
painful,fájdalmas
coughing,köhögés
religion,vallás
cats,macskák
stephen,István
influence,befolyás
fuel,üzemanyag
drawing,rajz
uh-oh,uh-ó
rabbit,nyúl
exercise,gyakorlat
attractive,vonzó
touching,megható
virus,vírus
realise,észre
torture,kínzás
blessed,áldott
plain,egyszerű
rebecca,rebecca
recent,legutóbbi
barbara,barbara
footsteps,lépései
sacred,szent
removed,eltávolították
pretending,színlelve
wasted,elpazarolt
jewish,zsidó
goodnight,jó éjt
robot,robot
crystal,kristály
confirm,erősítse meg
lad,fiú
mile,mérföld
division,osztály
scratch,karcolás
reminds,emlékeztet
walks,séták
ending,befejező
russia,Oroszország
contest,verseny
valuable,értékes
distant,távoli
dumped,lerakták
motion,mozgás
electricity,elektromos áram
centre,központ
murders,gyilkosságok
tina,tina
jeremy,Jeremy
seal,pecsét
standard,standard
ellen,ellen
wore,viselt
surrounded,körülvett
struck,ütött
inform,tájékoztatni
gentle,kedves
status,állapot
purse,pénztárca
prints,nyomatok
players,játékosok
charged,töltött
begging,koldulva
delivered,szállított
kenny,kenny
buck,bak
nina,nina
construction,építés
confirmed,megerősített
confession,gyónás
trigger,kiváltó
cells,sejteket
frankly,őszintén szólva
ali,ali
exit,kijárat
response,válasz
cancel,törölni
argument,érv
principal,fő
turkey,Törökország
lucas,lucas
clinic,klinika
greetings,üdvözlettel
neighbors,szomszédok
vice,helyettes
toy,játék
hannah,hannah
everyday,mindennapi
generous,nagylelkű
gain,nyereség
idiots,idióták
holly,magyal
enjoyed,élvezte
jungle,dzsungel
link,link
underground,földalatti
smiling,mosolyogva
mistress,úrnő
teams,csapatok
product,termék
beef,marhahús
whispers,suttogja
religious,vallási
presents,bemutatja
identify,azonosítani
chip,chip
chffffff,chffffff
surveillance,felügyelet
carlos,Carlos
vampire,vámpír
routine,rutin
uses,használ
michelle,Michelle
underneath,alul
systems,rendszerek
temperature,hőmérséklet
waves,hullámok
tribe,törzs
brad,fejnélküli
deputy,helyettes
sophie,sophie
headquarters,központ
equal,egyenlő
phones,telefonok
ken,ken
reckon,számol
related,összefüggő
incredibly,hihetetlenül
chill,hideg
spit,nyárs
tracks,pályák
oscar,oscar
makeup,smink
bug,bogár
sounded,hangzott el
spirits,szellemek
nerve,ideg
divorced,elvált
stake,tét
port,kikötő
doorbell,csengő
worries,aggodalmak
nephew,unokaöcs
miller,molnár
units,egységek
just-,éppen-
proceed,folytassa
landing,leszállás
traitor,áruló
outfit,felszerelés
chloe,Chloe
bail,óvadék
fields,mezőket
patience,türelem
recording,felvétel
foolish,bolond
loaded,töltött
tokyo,tokió
davis,davis
costume,ruha
wayne,wayne
injured,sérült
somethin,valamit
ian,ian
pet,kedvenc
cage,ketrec
digging,ásás
spain,Spanyolország
seats,ülések
awkward,kínos
cleaned,tisztítani
pattern,minta
filthy,mocskos
visiting,látogató
jews,zsidók
answering,válaszolva
concentrate,sűrítmény
someplace,valahol
citizens,állampolgárok
aim,cél
nancy,Nancy
affairs,ügyek
thick,vastag
sport,sport
basic,alapvető
electric,elektromos
pleasant,kellemes
cliff,szikla
nail,köröm
russell,Russell
environment,környezet
western,nyugati
average,átlagos
ease,könnyedség
raped,megerőszakolták
interrupt,megszakítani
judy,Judy
satisfied,elégedett
beep,sípol
starving,éhező
documents,dokumentumokat
anniversary,évforduló
beth,beth
election,választás
warrior,harcos
r,r
forth,tovább
fetch,elhozni
banks,bankok
placed,helyezett
timing,időzítés
stones,kövek
complex,összetett
frozen,fagyott
replace,cserélje ki
prayer,ima
skip,kihagyni
angeles,angyalok
guilt,bűnösség
tune,dallam
woo,udvarol
actions,akciók
conscience,lelkiismeret
officially,hivatalosan
martha,martha
machines,gépek
smaller,kisebb
determined,eltökélt
blown,kifulladt
hail,jégeső
unhappy,boldogtalan
booth,bódé
pour,önteni
berlin,berlin
cleared,törölve
packed,csomagolt
wrap,betakar
randy,randy
behalf,nevében
reasonable,ésszerű
trunk,törzs
homes,otthonok
festival,fesztivál
tradition,hagyomány
cigarettes,cigaretta
le,le
beside,mellett
harvey,Harvey
motive,indíték
beings,lények
bishop,püspök
dealer,kereskedő
defendant,alperes
backup,biztonsági mentés
wounds,sebek
ouch,Jaj
ann,Ann
nearby,közeli
drank,ivott
effects,hatások
jonathan,Jonathan
dennis,dennis
benefit,haszon
adventure,kaland
p,p
territory,terület
ve,ve
apology,bocsánatkérés
dylan,dylan
unlike,ellentétben
owns,birtokolja
boxes,dobozok
thus,így
clay,agyag
developed,fejlett
busted,lebukott
pipe,cső
gray,szürke
no.,nem.
goods,áruk
favourite,kedvenc
salad,saláta
loyal,lojális
atmosphere,légkör
eva,eva
freaking,rohadt
dropping,leejtés
strangers,idegenek
mouse,egér
downtown,belvárosi
francisco,francisco
heroes,hősök
pit,gödör
rotten,rothadt
paradise,paradicsom
meantime,közben
jess,jess
organization,szervezet
hills,dombok
exam,vizsgálat
cock,kakas
fairy,tündér
earl,gróf
comment,megjegyzés
activity,tevékenység
frame,keret
knight,lovag
testing,tesztelés
habit,szokás
shelter,menedék
flow,folyik
jennifer,jennifer
holes,lyukakat
prevent,megakadályozni
anthony,Anthony
lend,kölcsönöz
cooper,kádár
figures,figurák
boston,Boston
sample,minta
strip,szalag
landed,leszállt
buzzing,zümmögő
monk,szerzetes
slightly,némileg
produce,előállítani
annoying,bosszantó
judgment,ítélet
laundry,mosoda
ron,ron
lousy,tetves
souls,lelkek
existence,létezés
belly,has
tries,próbálkozik
foster,nevelődjön
returning,visszatérő
answered,válaszolta
ward,osztályon
plants,növények
actress,színésznő
chairman,elnök
individual,egyedi
hopes,reméli
tattoo,tetoválás
fence,kerítés
sink,mosogató
punk,punk
confident,magabiztos
yay,jaj
mistaken,téves
limit,határ
bothering,zavaró
st,st
uncomfortable,kényelmetlen
wednesday,szerda
gifts,ajándékokat
policeman,rendőr
na,na
precisely,pontosan
lawyers,ügyvédek
greek,görög
merely,csupán
criminals,bűnözők
underwear,fehérneműt
hoped,remélte
earned,szerzett
reveal,felfedni
appeared,megjelent
derek,derek
heavens,egek
personality,személyiség
batman,denevérember
virginia,Virginia
wives,feleségek
colour,szín
worker,munkás
pope,pápa
instructions,utasítás
intelligent,intelligens
worrying,aggasztó
vince,Vince
comin,gyere
cried,kiáltott
traveling,utazó
bells,harangok
x,x
impact,hatás
robbed,kirabolták
relief,megkönnyebbülés
host,házigazda
footage,felvételeket
odds,esély
patrol,járőr
circus,cirkusz
mud,sár
captured,elfogták
lessons,leckéket
occasion,alkalom
sets,készletek
pulse,impulzus
ad,hirdetés
invented,kitalált
diamonds,gyémántok
matthew,Matthew
auntie,néni
cloud,felhő
francis,francis
angels,angyalok
hers,az övé
classes,osztályok
mm-hm,mm-hm
signature,aláírás
complain,panaszkodik
blah,bla
monitor,monitor
options,opciók
claims,állítja
flies,legyek
pat,pat
britain,Britannia
hid,elbújt
wailing,siránkozás
listened,hallgatott
countries,országokban
vic,vic
yell,ordítás
rats,patkányok
wondered,tűnődött
smooth,sima
resist,ellenáll
companies,cégek
fantasy,fantázia
passport,útlevél
pitch,hangmagasság
hammer,kalapács
homicide,emberölés
casey,esetszerű
holds,tart
flew,repült
jacob,Jacob
noon,dél
helicopter,helikopter
dishes,edények
spin,spin
charm,báj
slap,pofon
apply,alkalmazni
fools,bolondok
screeching,csikorogva
discover,felfedezni
previous,előző
kit,készlet
authorities,hatóság
moaning,nyögve
photograph,fénykép
sales,értékesítés
fifty,ötven
mickey,Miki
beneath,alatt
farewell,búcsú
clouds,felhők
slipped,megcsúszott
represent,képviselni
deaf,süket
facing,szemben
offense,vétség
citizen,polgár
clown,bohóc
snap,csattan
messing,rontás
hood,motorháztető
twelve,tizenkét
interests,érdekeit
cheated,becsapott
liz,liz
informed,tájékozott
humanity,emberiség
producer,termelő
technically,technikailag
accounts,számlák
extreme,szélső
gettin,kapok
cia,cia
ii,ii
pays,fizet
profile,profil
oxygen,oxigén
jeez,jesszusom
gene,gén
shed,fészer
minor,kiskorú
ex,volt
theatre,színház
scientific,tudományos
lovers,szerelmesek
chaos,káosz
l.a.,l.a.
rocket,rakéta
math,matematika
stubborn,makacs
august,augusztus
oi,oi
chips,chips
intense,erős
grey,szürke
talkin,beszélünk
terrorist,terrorista
angle,szög
invitation,meghívás
gus,gus
gambling,szerencsejáték
respond,reagál
thirty,harminc
procedure,eljárást
absolute,abszolút
investigate,vizsgálja meg
tragedy,tragédia
stable,stabil
session,ülés
capture,elfog
marrying,házasodni
ripped,szakadt
attacks,támadások
stretch,nyújtózkodni
bush,bokor
dates,dátumok
unable,képtelen
gates,kapuk
mars,Mars
artists,művészek
increase,növekedés
tastes,ízek
cared,törődött
bottles,palackok
highest,legmagasabb
whirring,zúgva
meanwhile,közben
nate,nate
grabbed,megragadta
pigs,disznók
chop,szelet
olivia,olivia
wheels,kerekek
shocked,döbbent
reverend,tisztelendő
commercial,kereskedelmi
escort,kíséret
engagement,eljegyzés
corpse,hulla
louise,Louise
worthy,méltó
scale,skála
beats,veri
williams,Williams
threatening,fenyegető
exists,létezik
academy,akadémia
acts,cselekszik
hop,komló
judges,bírák
furniture,bútor
shared,megosztott
ralph,ralph
consequences,következményei
engineer,mérnök
schools,iskolák
softly,halkan
bombs,bombák
caroline,caroline
shark,cápa
transport,szállítás
population,lakosság
succeed,sikerül
creepy,hátborzongató
sneak,settenkedik
studies,tanulmányok
destruction,megsemmisítés
keith,keith
protected,védett
monsters,szörnyek
joining,csatlakozás
punished,megbüntették
lightning,villám
malcolm,malcolm
shell,héj
fascinating,elbűvölő
chamber,kamra
ethan,ethan
romance,románc
instance,példa
jumping,ugrálás
groups,csoportok
exhausted,kimerült
testify,tanúskodni
studied,tanult
walker,járóka
pin,pin
imagined,elképzelte
drill,fúró
investigating,nyomoz
ye,ti
experienced,tapasztalt
elena,elena
necklace,nyaklánc
loyalty,hűség
junk,szemét
cole,kelkáposzta
