german,hungarian
steig,emelkedik
vorwärts,előre
überprüfen,ellenőrzés
besseres,jobb
beweis,bizonyíték
baum,fa
gebt,ad
funktionieren,funkció
anscheinend,látszólag
lehrer,tanár
hoffen,remény
bessere,jobb
isst,eszik
nachmittag,délután
nem,nem
risiko,kockázat
chuck,tokmány
knast,börtön
entschuldigt,sajnálom
gilt,vonatkozik
held,hős
daraus,abból
erstes,első
fräulein,hiányzik
rachel,Rachel
prima,nagy
brauchte,szükséges
gewalt,erő
dean,dékán
liebes,Kedves
schaffst,teremt
nachdenken,latolgat
tor,cél
erfahrung,tapasztalat
pläne,terveket
jagen,vadászat
katze,macska
runde,kerek
deutsche,német
schwanz,farok
taten,tette
lord,lord
dringend,sürgős
commander,parancsnok
großvater,nagyapa
sommer,nyári
gezeigt,látható
hinterlassen,elhagy
gewissen,lelkiismeret
getrunken,ivott
wahre,igaz
luke,nyílás
kunden,vásárlók
kate,Kate
zeugen,tanú
geplant,tervezett
amanda,amanda
erreicht,elérte
stören,zavarni
stein,kő
atmen,lélegzik
hose,nadrág
weiße,fehér
sprichst,beszél
größer,nagyobb
schickt,küld
city,Város
prinz,herceg
behandelt,kezelt
tote,halott
überlegen,felsőbbrendű
karten,kártyákat
it,azt
d,d
restaurant,étterem
welchem,melyik
roger,roger
natur,természet
carter,kocsis
emily,Emily
mami,anyuci
verschwindet,eltűnik
lautet,van
streit,vita
küssen,csók
sprich,mondjuk
längst,régen
fängt,fogások
drüber,felette
gingen,ment
erlaubt,megengedett
einzigen,egyetlen
bad,fürdőszoba
schmeckt,ízek
kugel,golyó
normalerweise,normálisan
schwarzen,fekete
rauf,fel
flug,repülési
beruhigen,nyugodt
walter,Walter
halbe,fél
dan,Dan
geschieht,történik
einiges,néhány
entdeckt,felfedezték
morgens,reggel
schlechter,rosszabb
vollkommen,teljesen
gelogen,hazudott
verfolgt,üldözött
college,főiskola
weiteren,további
chris,Chris
louis,Louis
eh,eh
schwert,kard
hunde,kutyák
steigen,emelkedés
verdammter,átkozott
dürfte,kellene
riecht,szagokat
labor,laboratórium
bat,kérdezte
tim,tim
arthur,Arthur
mindestens,legalább
fisch,hal
eurem,a tiéd
füße,lábát
stehst,állvány
erschießen,lő
kuchen,torta
versuchte,kipróbált
zustand,állapot
wunsch,kíván
gäste,vendégek
erwähnt,említett
farbe,szín
van,furgon
einigen,néhány
zufall,egybeesés
garten,kert
junger,fiatalabb
autos,autók
abgesehen,egymástól
fair,igazságos
vertraut,megbízott
koffer,bőrönd
hieß,hívták
kurs,pálya
wirkt,művek
idioten,idióták
netter,szebb
seitdem,mivel
angegriffen,megtámadták
geschichten,történetek
wahnsinnig,őrült
ähnlich,hasonló
lily,liliom
aufgeben,feladni
england,Anglia
entführt,elrabolták
ms.,ms.
mistkerl,fattyú
solchen,ilyen
ner,ner
geschossen,lövés
lager,készlet
besprechen,megbeszélni
reihe,sor
polizisten,rendőrök
vogel,madár
legt,fekteti
strand,strand
amerikaner,amerikai
schwarz,fekete
fern,távoli
fick,bassza meg
scherz,viccelek
san,san
erzählte,mondta
wichser,bolondozó
jake,Jake
langweilig,fúrás
womit,mivel
geschäfte,üzletek
my,az én
kapiert,megvan
nachher,utána
verlangt,követelte
schlägt,veri
überzeugt,meggyőződve
irgendjemand,bárki
rot,piros
soldat,katona
vorbereitet,előkészített
geschah,történt
reisen,utazási
termin,kinevezés
gang,felszerelés
stehlen,lop
rechte,jobbra
rache,bosszú
bemerkt,észrevette
frankreich,Franciaország
stört,zavarja
radio,rádió
beruhige,nyugodj meg
pferde,lovak
vertrag,szerződés
arbeitest,munka
dienst,szolgáltatás
zählt,számít
fragst,kérdezed
wesen,lények
bürgermeister,polgármester
emma,emma
fluss,folyik
woran,Mi
geblieben,maradt
durcheinander,összekeverve
me,nekem
ted,ted
nette,csinos
test,teszt
mister,uram
dadurch,ezen keresztül
direktor,igazgató
wichtiger,fontosabb
kevin,Kevin
scott,scott
karriere,karrier
akte,fájlt
erinnerung,memória
großmutter,nagymama
erzähle,mondd meg
lösen,megoldani
bravo,Bravó
griff,fogantyú
verfolgen,pálya
zweifel,kétség
such,keresés
sprache,nyelv
nerven,bosszant
officer,tisztviselő
andy,andy
langer,hosszabb
ziehe,Húzni
entlassen,elbocsátották
zweimal,kétszer
abholen,felvenni
washington,Washington
kollegen,kollégák
doc,doc
fass,hordó
szene,színhely
robin,vörösbegy
scheinen,látszik
bösen,gonosz
schaffe,teremt
pflicht,vám
wache,őr
neulich,nemrég
beeilen,siess
knie,térd
alice,Alice
lauter,hangosabban
spannende,izgalmas
unschuldig,ártatlan
folgt,következik
schutz,védelem
weshalb,milyen okból
geheiratet,házas
woanders,valahol máshol
wurdest,lett
kuss,csók
verhindern,akadályozzák
erklärung,magyarázat
video,videó
rom,Róma
klug,okos
kräfte,erők
verlangen,kereslet
außerhalb,kívül
opa,nagypapa
selbstverständlich,természetesen
aufstehen,feláll
hassen,gyűlölet
pete,pete
gebrauchen,használat
geglaubt,hitte
milch,tej
trink,ital
gefeuert,kirúgták
erinnerungen,emlékek
müssten,kellene
suchst,keresnek
fährst,hajtás
kochen,szakács
schwach,gyenge
schreibt,írja
schulden,adósságok
hinein,abba
simon,Simon
grenze,határ
braut,menyasszony
gebraucht,szükséges
peinlich,kínos
klappt,művek
geheimnisse,titkok
joey,Joey
aufmerksamkeit,Figyelem
form,forma
umsonst,ingyen
kennenzulernen,megismerni
überlebt,túlélte
nirgendwo,sehol
meilen,mérföldre
einfacher,könnyebben
blöde,hülye
mond,hold
ergibt,eredményeket
daten,adat
merken,emlékezz
schande,szégyen
fuck,bassza meg
fühlte,filc
jenny,Jenny
sieg,győzelem
satt,elege van
blödsinn,ostobaság
adam,Ádám
lisa,Lisa
pfund,font
handeln,cselekedni
lois,lois
enden,vége
warm,meleg
raten,találgatás
übersetzung,fordítás
kunst,művészet
kapitän,kapitány
desto,annál több
einsatz,misszió
schweigen,legyen csendben
krankheit,betegség
toller,nagy
schatten,árnyék
wachen,őr
tatsache,tény
eric,Eric
stock,készlet
chief,fő
hingehen,menj oda
verboten,tiltott
gäbe,létezne
anzug,férfi öltöny
leichen,holttestek
high,magas
beendet,véget ért
freitag,péntek
million,millió
verflucht,átkozott
dunkel,sötét
geb,született
enttäuscht,csalódott
klopfen,kopogás
spuren,érzék
dreck,piszok
seiten,oldalakat
mühe,erőfeszítés
gezogen,húzta
brian,brian
kontrollieren,ellenőrzés
knochen,csont
schick,sikkes
getrennt,elválasztott
programm,program
grab,sír
ebenso,is
trage,viselet
nachbarn,szomszédok
bieten,ajánlat
bestes,legjobb
elizabeth,Erzsébet
fuhr,hajtott
verlässt,levelek
freundlich,barátságos
dennoch,mindazonáltal
rauchen,füst
dick,vastag
stuhl,szék
dreh,fordulat
bester,legjobb
schicke,elküld
vergeben,megbocsát
ausgehen,kimegy
behandeln,élvezet
trotz,ellenére
gast,vendég
ändert,változásokat
passierte,történt
toilette,WC
annehmen,feltételezzük
herzlichen,melegen
hexe,boszorkány
erwachsen,felnőtt
jerry,Jerry
pistole,pisztoly
saß,ült
dreht,forog
aussage,kifejezés
liebte,szeretett
street,utca
genießen,élvez
eifersüchtig,féltékeny
derjenige,az egy
teuer,drága
leo,Oroszlán
zähne,fogak
beobachtet,megfigyelt
gentlemen,Urak
wählen,válasszon
helft,segít
fliegt,legyek
theater,színház
regen,eső
feinde,ellenségek
william,William
erlauben,engedje meg
zulassen,engedje meg
schnappen,csattan
komplett,teljesen
panik,pánik
flughafen,repülőtér
bewusst,tudatosan
deutschen,német
voraus,előre
sterbe,meghal
solltet,kellene
begleiten,kísérni
einander,egymást
fred,fred
erlebt,tapasztalt
weiterhin,továbbá
stärker,erősebb
fahrer,sofőr
konzentrieren,fókusz
streiten,vitatkozni
angeht,aggályokat
selben,azonos
star,csillag
überzeugen,meggyőzni
alkohol,alkohol
übersetzt,lefordított
verrückte,őrültek
lch,lch
king,király
begann,kezdődött
angenommen,feltételezte
weitermachen,folytat
echter,igazi
jackson,Jackson
post,hozzászólás
mitgenommen,elvitték
botschaft,üzenet
ideen,ötleteket
fehlen,hiányzik
aufgeregt,felborít
selbstmord,öngyilkosság
dumme,hülyék
zurückkommen,gyere vissza
irgendein,bármilyen
magie,mágikus
phil,phil
schlage,találat
handelt,cselekszik
treffe,találkozik
untersuchen,vizsgálja meg
flucht,menekülés
verliert,veszít
irgendeine,bármilyen
gegenteil,szemben
betrifft,üdvözlettel
scharf,éles
gehofft,remélte
kennengelernt,találkozott
schlimmste,legrosszabb
projekt,projektet
trottel,idióta
immerhin,különben is
mehrere,számos
erwarte,elvárják
mochte,akar
schwimmen,úszni
zählen,számolni
innerhalb,belül
matt,deres
blind,vak
schwestern,nővérek
code,kód
alan,Alan
schlau,okos
absicht,szándék
barry,Barry
spielst,játék
zuletzt,utolsó
oliver,olivér
art.,művészet.
englisch,angol
ohr,fül
verletzen,megsebesíteni
song,dal
schüler,tanulók
schien,úgy tűnt
gewinnt,nyer
älter,idősebb
merkwürdig,szokatlan
judy,Judy
vermisse,hiányzik
größe,méret
tritt,előfordul
trauen,bizalom
präsidenten,elnökök
trick,trükk
harvey,Harvey
doug,Doug
roten,vörösödik
überlegt,figyelembe vett
größten,legnagyobb
sonntag,vasárnap
zwölf,tizenkét
vorstellung,teljesítmény
schrieb,írt
reinkommen,Jöjjön be
killer,gyilkos
unterstützung,támogatás
antun,tedd meg
rechnung,számla
dieselbe,ugyanaz
verändern,változás
möglicherweise,esetleg
definitiv,határozottan
locker,laza
ed,szerk
vincent,Vincent
ums,ums
abends,este
frisch,friss
kohle,pénz
fing,elkapták
hure,kurva
cousin,unokatestvér
familien,családok
einsam,magányos
lebendig,élénk
heiligen,megszentel
knapp,csekély
ebenfalls,is
überprüft,ellenőrizve
artikel,cikk
gesetzt,készlet
jederzeit,bármikor
kompliziert,bonyolult
spüren,érzék
signal,jel
amy,amy
stich,metszés
kino,mozi
probieren,próbáld ki
tode,halálozások
wundervoll,csodálatos
tanz,tánc
geöffnet,nyitott
kerle,srácok
begraben,eltemették
prozent,százalékos
stoppen,Stop
hoheit,felséged
riesen,óriás
rote,vörösség
zugang,hozzáférés
liest,olvas
vorn,elülső
wichtige,fontos
aufmachen,nyissa meg
kelly,Kelly
sexy,szexis
erlaubnis,engedély
grace,kegyelem
big,nagy
story,történet
madam,madám
leichter,öngyújtó
halben,fél
filme,filmeket
priester,pap
herauszufinden,hogy megtudja
packen,csomag
dritte,harmadik
inzwischen,addig is
larry,Larry
presse,sajtó
sitze,ül
machten,készült
geklaut,lopott
helden,hősök
susan,Susan
geduld,türelem
bühne,színpadon
reparieren,javítás
hä,huh
usa,Egyesült Államok
gerechtigkeit,igazságszolgáltatás
fälle,esetek
selten,ritkán
anrufe,hívásokat
unterschreiben,jel
julia,Julia
drücken,sajtó
mrs,asszony
lügner,hazug
endet,véget ér
dave,Dave
medizin,gyógyszer
schreibe,írj
verhaften,letartóztatás
prozess,folyamat
samstag,szombat
amen,Ámen
motor,motor
marie,Marie
abhauen,menekülni
chaos,káosz
schönheit,szépség
beinahe,majdnem
lebst,élő
tolles,nagy
anhalten,Stop
fremden,idegenek
hof,udvar
akzeptieren,elfogadni
norden,északi
ärzte,orvosok
anziehen,tedd fel
dingen,dolgokat
umgehen,elkerülni
bauch,has
gesamte,teljes
hübsche,szép
ertragen,medve
kiste,doboz
brennt,égési sérüléseket
teile,részesedés
deckung,borító
landen,föld
berg,hegy
straßen,utcák
aufgenommen,rögzített
gerufen,hívott
untersuchung,vizsgálat
alarm,riasztás
blieb,maradt
vertraue,bizalom
extra,külön-
entspann,nyugodt
beobachten,megfigyelni
eindruck,benyomás
tschüs,Viszlát
babys,babák
wehtun,fáj
zog,húzta
iss,eszik
herrgott,jesszusom
echten,igazi
springen,ugrás
nackt,meztelen
existiert,létezik
befreien,felszabadítani
gerät,eszköz
montag,hétfő
gezwungen,kényszerű
perfekte,tökéletes
erzählst,mondd meg
bastard,fattyú
interessieren,érdekelt
schlechten,rossz
hank,gombolyag
steigt,emelkedik
st.,st.
on,-on
carl,Carl
gekriegt,kapott
fliehen,menekül
trug,viselt
freundschaft,barátság
rate,arány
papiere,papírokat
abgeschlossen,elkészült
schnauze,ormány
beruf,szakma
gebiet,terület
jeff,jeff
jedoch,viszont
beten,imádkozik
verbunden,összekötve
sprachen,nyelvek
verräter,áruló
wichtigste,legfontosabb
prost,Egészségére
brust,mell
aufgehört,megállt
kleider,ruhák
jacke,kabát
bestellt,elrendelte
herkommen,gyere ide
wild,vad
nenne,név
angesehen,megtekintve
zuhören,hallgat
trennen,különálló
schlafzimmer,hálószoba
vorschlag,javaslat
meins,enyém
gift,méreg
ton,agyag
vermissen,hiányzik
angekommen,megérkezett
beantworten,válasz
deutlich,egyértelműen
träumen,álom
verwirrt,zavaros
akten,fájlokat
riskieren,kockázat
b,b
victor,győztes
find,lelet
erkannt,felismerte
beerdigung,temetés
müll,szemét
weisst,tud
möge,május
stellte,bemutatott
mitte,központ
erleben,tapasztalat
geburt,születés
decke,mennyezet
chffff,chffff
wege,módokon
schritte,lépéseket
gibts,van
gemeldet,jelentették
hilfst,Segítség
mittagessen,ebéd
weint,sír
vernichten,elpusztítani
rock,szikla
chicago,Chicago
ellen,ellen
crew,legénység
roy,roy
türen,ajtók
gewehr,pisztoly
elena,Elena
arbeitete,dolgozott
spiegel,tükör
hauen,találat
geraten,tanácsolta
dritten,harmadik
ross,ló
julie,Julie
wetter,időjárás
schwul,meleg
regel,szabály
befindet,található
einheit,egység
german,német
armer,szegényebb
gucken,Nézze
anstatt,helyett
champagner,pezsgő
gründe,okokból
strafe,büntetés
smith,kovács
öfter,gyakrabban
anne,Anne
zelle,sejt
langen,hosszú
altes,régi
ruiniert,romos
jonathan,Jonathan
kleidung,ruházat
gras,fű
kenn,tud
agenten,ügynökök
herausgefunden,megtudta
annie,Annie
rechten,jobbra
brot,kenyér
berlin,Berlin
erfreut,elragadtatva
lügt,hazugságok
nehm,vesz
harte,keménység
staaten,kimondja
station,állomás
gaben,adott
hinterher,később
verpassen,hiányzik
geholt,elhozták
jesse,Jesse
hemd,ing
trinke,ital
klären,tisztázni
praktisch,gyakorlati
theorie,elmélet
zunge,nyelv
notfall,vészhelyzet
besseren,jobb
winter,téli
c,c
versuchst,megpróbál
dahinter,mögötte
schwere,nehéz
feuern,Tűz
lucy,lucy
schießt,lő
anführer,vezető
schief,rossz
blau,kék
bestens,finom
wartest,Várjon
gehts,rendben van
morgan,Morgan
unrecht,rossz
leck,szivárog
wonach,Mi
entwickelt,fejlett
bedeutung,jelentése
strom,elektromos áram
krebs,Rák
gemein,átlagos
wessen,akinek
minister,miniszter
lhnen,te
quelle,forrás
zahl,szám
schiffe,hajókat
schüsse,lövések
bricht,szünetek
talent,tehetség
spitze,nagy
fernseher,tv
treiben,vezetni
ausgezeichnet,kiváló
tatort,bűnügyi helyszín
möglichkeiten,lehetőségeket
trinkt,italokat
esse,eszik
cop,zsaru
details,részletek
täter,elkövető
wahren,megőrizni
dieb,tolvaj
offiziell,hivatalosan
dienen,szolgál
westen,nyugat
entscheidungen,döntéseket
dauernd,állandóan
geschmack,íz
gegenseitig,egymást
gewählt,választott
charlotte,Charlotte
pech,balszerencse
verteidigen,megvédeni
schauspieler,színész
personen,személyek
überlassen,balra
publikum,közönség
trägst,visz
wechseln,változás
begegnet,találkozott
betrogen,becsapott
besucht,meglátogatta
vertrau,bizalom
europa,Európa
carrie,Carrie
patrick,patrick
deutschland,Németország
süßer,édesebb
loswerden,megszabadulni
melde,jelentés
maggie,Maggie
bestätigt,megerősített
gas,gáz
sturm,vihar
setze,készlet
briefe,leveleket
null,nulla
penny,penny
schlafe,templom
wirken,művek
geführt,vezetett
starten,indul
götter,istenek
festhalten,kapaszkodni
geheim,titkos
übergeben,átadni
cia,cia
abteilung,osztály
papier,papír
wetten,tét
gefolgt,követte
verschiedene,különböző
gleichzeitig,egy időben
genie,zseni
hungrig,éhes
inspektor,ellenőr
zwingen,erő
atmet,lélegzik
kuh,tehén
unterstützen,támogatás
geworfen,dobott
verlor,elveszett
süden,déli
pater,apa
menschheit,emberiség
versteck,elrejt
tötete,megölték
fähigkeiten,készségek
beruhigt,megnyugodott
rechtzeitig,pontos
streng,szigorúan
sendung,adás
gelebt,élt
treppe,lépcsők
kim,kim
richtiger,helyesebb
aufnehmen,rögzíteni
wolf,farkas
pa,Pa
öffnet,megnyílik
dämon,démon
wut,düh
schlange,kígyó
medikamente,gyógyszer
geschenkt,tehetséges
nenn,név
gelegt,helyezett
anfassen,érintés
pizza,pizza
schlechtes,rossz
hütte,kunyhó
mantel,egy kabátot
behauptet,állítja
kilometer,kilométerre
beeilung,siess
angeblich,állítólag
reiten,lovagol
helen,Helen
mittag,déli
gewarnt,figyelmeztetett
wohne,élő
las,olvas
dunkelheit,sötétség
spazieren,séta
angel,angyal
hiermit,ezennel
schließt,bezár
phoebe,Phoebe
vieles,sokat
erfüllt,teljesült
tausend,ezer
sack,táska
eindeutig,egyértelműen
unterhaltung,szórakozás
gründen,talált
km,km
zugeben,elismerni
mittel,közepes
explosion,robbanás
gefangenen,foglyok
taylor,taylor
frische,frissesség
verdächtigen,gyanúsított
neugierig,kíváncsi
leitung,vonal
kennenlernen,megismerni
fliege,repül
lebte,élt
menschliche,emberi
anderem,más
auseinander,egymástól
fressen,eszik
beides,mindkét
ficken,bassza meg
stoff,anyag
spüre,érezni
eilig,siet
stammt,származik
vorgestellt,bemutatott
linda,Linda
welch,melyik
wichtiges,fontos
no,nem
gehörte,tartozott
mhm,mmm
glaubte,hitte
oberst,ezredes
schrank,gardrób
fremde,idegenek
gnade,kegyelem
chloe,Chloe
yo,yo
entspannen,lazíts
virus,vírus
schläfst,alvás
einladung,meghívás
krieger,harcos
vernünftig,ésszerű
fein,finom
greifen,megragad
whoa,izé
kyle,Kyle
schickte,küldött
per,által
mitglied,tag
einziger,csak egy
umzubringen,megölni
zurückkehren,visszatérés
feld,mező
mexiko,Mexikó
erschaffen,teremt
information,információ
hergekommen,jött ide
beweg,mozog
stärke,erő
vermögen,eszközöket
verbracht,költött
gewisse,bizonyos
waschen,mosás
howard,Howard
staat,állami
geister,szellemek
behaupten,követelés
schrei,sikoly
würdet,lenne
vögel,madarak
warnen,figyelmeztet
albert,Albert
chancen,lehetőségeket
treibt,meghajtók
nannte,hívott
vermute,találgatás
mitternacht,éjfél
jones,Jones
freundinnen,barátnők
lecker,isteni finom
klinik,klinika
dicht,közeli
befinden,állapot
ließen,hagyja
bürger,állampolgárok
verursacht,okozta
hammer,kalapács
klang,hang
internet,Internet
aufregend,izgalmas
grenzen,határait
politik,politika
superman,Felsőbbrendű ember
zurecht,jobbra
besitz,birtoklása
cops,zsaruk
eingesperrt,bezárva
irren,téved
kommando,parancs
schlug,találat
krankenwagen,mentőautó
love,szeretet
öffne,nyitott
karen,karen
richten,közvetlen
mademoiselle,mademoiselle
erfunden,kitalált
schnee,hó
fühl,érezni
behalte,tartsa
beschützt,védett
punkte,pontokat
entfernen,távolítsa el
abgehauen,elszaladt
geträumt,álmodott
stefan,Stefan
dämonen,démonok
tränen,könnyek
erfolgreich,sikeres
volle,tele
wilson,Wilson
caroline,Caroline
höher,magasabb
happy,boldog
brille,szemüveg
musstest,kellett
heimat,szülővárosa
terry,frottír
liebsten,kedvenc
bye,Viszlát
leiter,igazgató
sean,Sean
kauf,vásárlás
spinnst,őrült vagy
werk,gyár
cent,cent
schlacht,csata
beziehungen,kapcsolatokat
abgemacht,egyeztetett
schreie,sikoly
hmm,hmm
bestätigen,erősítse meg
erschreckt,rémült
offizier,tisztviselő
that,hogy
sara,sara
affäre,ügy
empfangen,kapott
zweck,cél
kämpfe,harc
ergeben,eredmény
china,Kína
fange,fogás
häuser,házak
verliere,veszít
gedanke,gondolat
tausende,ezrek
heutzutage,manapság
gefühlt,filc
schnitt,vágott
carlos,Carlos
harold,Harold
lebend,élő
real,igazi
holz,faipari
kaiser,császár
spielte,játszott
begonnen,elindult
ziehst,te húzod
gelandet,leszállt
scheidung,válás
bart,szakáll
beschlossen,határozott
klo,vécé
riechen,szag
vergisst,elfelejti
begeistert,lelkes
ei,tojás
durchs,keresztül
geil,hűvös
nieder,alacsony
erkläre,megmagyarázni
schreckliche,szörnyű
beeindruckt,lenyűgözött
vince,Vince
aufgegeben,elhagyatott
aufgrund,miatt
momentan,pillanatnyilag
solch,ilyen
meistens,többnyire
stress,feszültség
sterne,csillagok
heilen,gyógyít
soviel,annyi
kannten,tudta
stattdessen,helyette
aye,igen
dinger,dolgokat
stimmung,hangulat
bulle,bika
aufgefallen,észrevette
kämpft,harcok
geräusch,zaj
künstler,művész
wachsen,nő
verurteilt,elítélték
himmels,ég
tyler,tyler
urteil,ítélet
schweine,disznók
nettes,szép
house,ház
verlust,veszteség
verließ,balra
wirf,dobás
wenige,kevés
willie,Willie
schulter,váll
kalifornien,Kalifornia
lernt,tanul
beigebracht,tanította
normale,normál
anbieten,ajánlat
verwenden,használat
gratuliere,gratulál
fluch,átok
rick,rick
übers,ford
grün,zöld
unterricht,oktatás
dachtest,gondoltad
verarschen,viccelek
gewöhnt,használt
anklage,vádol
tollen,nagy
lippen,ajkak
fett,zsír
lege,világi
feigling,gyáva
achten,tekintettel
gary,gary
erfährt,tanul
gewohnt,használt
jessica,Jessica
äußerst,rendkívül
einladen,meghív
käse,sajt
aufwachen,felébred
verfügung,ártalmatlanítása
uniform,egyenruha
zusehen,óra
board.tvuser.de,board.tvuser.de
gesundheit,egészség
abenteuer,kaland
hosen,nadrág
kurze,rövid
scheck,ellenőrzés
täglich,napi
fresse,eszik
übernehme,átvenni
wiederholen,ismétlés
bestellen,rendelés
freiwillig,önként
cole,kelkáposzta
universum,világegyetem
zeuge,tanú
west,nyugat
marshall,Marshall
fähig,képes
revier,terület
reifen,gumiabroncsok
mum,mama
führe,ólom
durchgemacht,átment
tests,tesztek
führte,vezetett
schenken,ad
schädel,koponya
realität,valóság
april,április
albern,buta
brav,jól viselkedett
schwerer,nehezebb
jagd,vadászat
versagt,sikertelen
truck,teherautó
steckst,megragadt
geschenke,ajándékokat
sicherlich,biztosan
öffentlichkeit,nyilvános
merkt,észrevételeket
verbrecher,bűnügyi
maske,maszk
verstärkung,megerősítés
liefern,szállítás
jo,igen
starke,erő
grunde,okokból
gordon,Gordon
würd,lenne
verschwand,eltűnt
schulde,adósság
russen,oroszok
führer,vezető
gemerkt,észrevette
ciao,ciao
loslassen,engedje el
berichten,jelentés
verabschieden,elköszönni
antrag,alkalmazás
schieß,lő
abby,abby
benehmen,viselkedés
verdacht,feltételezett
hübsches,szép
schreibtisch,íróasztal
e,e
vampir,vámpír
rory,rory
probe,minta
schaff,teremt
verzeih,Bocsánat
patient,beteg
geküsst,megcsókolt
ertönt,hangokat
nahmen,vett
zahlt,fizet
vorbereiten,készít
verbrannt,égett
verdammtes,átkozott
frankie,Frankie
informiert,tájékozott
einziges,csak egy
zucker,cukor
stinkt,bűzlik
schnappt,csattan
schreib,írj
standen,állt
klamotten,ruházat
heil,sértetlen
besitzer,tulajdonos
marcus,Marcus
tess,tess
drum,ezért
tasse,csésze
hinweis,egy értesítést
verteidigung,védelem
lügst,hazugság
lies,olvas
magen,gyomor
enterprise,vállalkozás
michelle,Michelle
beeilt,siess
tunnel,alagút
einst,egyszer
behandlung,kezelés
serie,sorozat
applaus,taps
markt,piac
korrekt,helyesen
besessen,megszállottan
bewahren,megőrizni
nr.,nem.
pack,csomag
gekämpft,harcolt
black,fekete
angreifen,támadás
tiefer,mélyebbre
huh,huh
truppen,csapatok
kommandant,parancsnok
osten,keleti
elf,tizenegy
beeindruckend,hatásos
besitzt,birtokolja
ho,ho
heut,ma
clever,okos
verrückten,őrült
freien,ingyenes
hass,gyűlölet
antworte,válasz
posten,hozzászólás
schneiden,vágott
sammeln,gyűjt
gesteckt,bedugva
wissenschaft,tudomány
ursache,ok
gewiss,biztosan
bereich,terület
catherine,Catherine
meinetwegen,kedvemért
l.a.,l.a.
senator,szenátor
ausziehen,vetkőzz le
verzweifelt,kétségbeesett
jess,Jess
anteil,adag
stets,mindig
ritter,lovag
viertel,negyed
roman,regény
pünktlich,időben
erfüllen,teljesíteni
kauft,vásárol
molly,molly
basis,bázis
eva,eva
schock,sokk
empfang,recepció
wiederhole,ismétlés
wünscht,kívánságait
besondere,különleges
titel,cím
stil,stílus
fingerabdrücke,ujjlenyomatok
einfluss,befolyás
anweisungen,utasítás
zahle,fizetés
shield,pajzs
opfern,áldozat
blaue,kékség
sparen,megtakarítás
weiteres,további
gehörst,tartozik
farm,farm
erstaunlich,megdöbbentő
schwachsinn,ostobaság
miete,bérlés
verwandelt,átalakult
daneben,mellette
klaus,Klaus
bereiten,készít
wüste,sivatag
prüfen,ellenőrzés
gabe,gabe
hundert,száz
erscheinen,megjelenik
laß,hagyja
besiegen,vereség
verpiss,Baszd meg
umständen,körülmények
angelegenheit,anyag
landes,ország
dienstag,kedd
folgendes,a következőket
fürchten,félelem
mordes,gyilkosság
nennst,hívás
angestellt,munkavállaló
training,edzés
aufgetaucht,megjelent
rausfinden,megtudja
ächzt,nyögi
rauskommen,kijön
planet,bolygó
suppe,leves
erwischen,fogás
sitz,ülés
johnson,johnson
vorteil,előny
for,számára
rosa,rózsaszín
tour,kirándulás
amerikanische,amerikai
schönste,legszebb
rufst,hívsz
berührt,érintett
französisch,francia
gouverneur,kormányzó
angeles,angyalok
kaufe,vétel
stern,csillag
gedächtnis,memória
wirklichkeit,valóság
bestraft,megbüntették
kreis,kör
reine,tiszta
edward,Edward
schlimmes,rossz
bestehen,áll
jeannie,Jeannie
erscheint,jelenik meg
staatsanwalt,ügyész
ewigkeit,örökkévalóság
störung,zavarás
hässlich,csúnya
lauft,futás
angezogen,öltözött
señor,senor
half,segített
sollt,kellene
martha,martha
tiger,tigris
zigarette,cigaretta
mutig,bátor
ausruhen,lazíts
andrew,Andrew
linken,balra
hauptmann,kapitány
umstände,körülmények
not,nem
unglück,baleset
eng,szorosan
white,fehér
lucas,Lucas
üben,gyakorlat
wissenschaftler,tudós
gelöst,megoldva
reaktion,reakció
morde,gyilkosságok
dusche,zuhany
mitarbeiter,alkalmazottak
your,a tiéd
bedroht,megfenyegette
gehöre,tartozik
befreit,kiszabadult
stöhnen,nyögés
reagiert,Reagál
identität,identitás
rund,körül
texas,Texas
fieber,láz
hirn,agy
leiten,ólom
donnerstag,csütörtök
leonard,leonard
unheimlich,ijedős
mulder,mulder
jahrhundert,század
irgend,bármilyen
diener,szolga
bruce,Bruce
extrem,szélső
ausweis,ID
sicht,kilátás
sport,sport
juden,zsidók
studiert,tanult
angelogen,hazudott
schaue,Nézze
little,kis
sally,Kirohanás
text,szöveg
earl,gróf
nebenan,szomszédban
todd,Todd
lektion,lecke
mäuse,egerek
staub,por
sophie,Sophie
kugeln,labdák
dutzend,tucat
ratte,patkány
mitleid,kár
testen,teszt
auftritt,előfordul
gegner,ellenfél
joseph,József
verdienst,érdem
langsamer,lassabb
wunde,seb
linie,vonal
bedrohung,fenyegetés
bauer,gazda
kurzem,nemrég
fische,hal
einkaufen,bevásárlás
kreuz,kereszt
afrika,Afrika
begangen,elkötelezett
el,el
nachsehen,Nézze
junior,junior
bäume,fák
leidenschaft,szenvedély
geliebte,szeretett
bereuen,megbánás
spieler,játékos
berge,hegyek
verwendet,használt
steuern,tinó
gekümmert,gondozott
voran,előre
wieviel,Mennyi
barney,barney
graf,gróf
verabredung,kinevezés
verlasse,szabadság
überfallen,lesből
donna,donna
umdrehen,megfordul
damon,démon
kilo,kiló
diego,Diego
negativ,negatív
schild,jel
tanzt,táncol
verbrennen,éget
gefreut,elégedett
penner,ingyenélő
blauen,kék
